標題,連結,來源,時間
北韓暴雨金正恩視察災區 座駕亦被洪水圍困(多圖),https://news.google.com/read/CBMi4AJBVV95cUxQaWZUVnNXWHNTNmhic2ZiMW9ZR2lZbWJVb0lpbVhGRWJhZXFRZ0VnS2pqeHZFSTI4alZhLTRBeHNIMkJ0dlRoS2VTN09ZM3FBeVU0ZTYxRlEtY0Y0YmFWVWY4d3owdFNzbVNxV1dPY0JuTTBBZk54dkxzUTJhd0tmQmJfRUQtdEdfQkw1YUFUWFp4RE5GbnJSTV9hcnRNVUpzU0Q4WDZRN2xrQVRoZ1p6YWF4dmRhbmpTTHhXQU9uQWd2Q0FBbkgzRkwxSHBveXRWU1I3djQxQzJFemIzc2RLOWF4bWlEM1U0MnlXNEROWUtwOF9LSjBjMlphYUV4V0FDUnJUNUtDSU1PQ2puNWk5VmEtdWJ2aWRuLXZSa3ZDeEtVVzR0dUw4UGY4dF80S1dHZEJTR1hScXFiRFJ0bEY1VHdzM2R0V0VuZDhGb3A0VnhNc3lvUFZmcldTLW5BSTJF?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,AM730,7月29日
颱風瑪莉亞將襲日本東北低壓若成颱可能接力撲日| 國際,https://news.google.com/read/CBMiX0FVX3lxTFAtclRrWjF4Zm94OWZDSDdzS3Y2Ti1wZ093S3duTTVpYnIza0w2OEY1NTZJLWhjTFNIRzVYRzBaMk4yTWZtWGhiZDFLUTZaRDg1YXVaNnhISWZtNHZpRlI4?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,昨天
凱米颱風來襲 新北國際景點大樹倒塌傳災情,https://news.google.com/read/CBMiXEFVX3lxTE85Z2w4aGkyTWFJNVNWMWFvY01lOGQ3eTlNanZYMkZYNHJzSms0Tll5aXBTSFFJVUc2Qk1jTUxHcDZCeHRSNTdpWXRmdWhOdTRfSkRDUXd6U3A1SzFE0gFiQVVfeXFMUDlfclZuNVk4cGlUZV9Ec3pNS3ZYcE54MGYwSVVvQVp1a01lbDJ4MFV1MkEwMEVyd1hMTjdpZVJOU0ZkNUJNdFRPU0RHTnQwVUJLWEM5eFA4LS02dnBpa0NoVlE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,7月24日
凱米颱風來襲！臺灣國際熱氣球嘉年華7/24起暫停3天，鹿野高台光雕音樂會延至8/2,https://news.google.com/read/CBMi5wNBVV95cUxOczE0NGdZeGJEcTBmaVprVEFHWW9yUF80WEt5bXdTRkNaeEFtaWFYSE9tdHZyZWdSMzhOZFFIZG9OWDdUVFhlOTdscVdjWVJfR3l2Nk13ZGE4Z01ObmpGU1FwbjNlcWFQcnlQTGVqWlljeWs4MXRENXJ4XzhTQ2Y4Z052TG8zcUVoRngzcGhXdlFLSHhMaWUzamJnLVo5bW4tallObGNkV2d6VUgzdTJvYmVvRGh5UjhnbGo0anRhcHRNZThjaFgtNXhBSXdNc2tYX3YzanFieGhXcm5qTUFwQjhmdDY4ZDlZUTZBR1d6SEh5azlrOThIcUFSa3hQaWNTQVc4dnRzZzB1RGRLbXMxUURNb2VCWDdsUXVsOVE5S3ZnaDNIRDdSVE0yeng4VEJONlRwVzNYd1VJanNaT29VbzZEaHRSVFo1Uy00bXpJTkE3Rkp2S1RtRDh0NWhWbXUzeE1aZmd1dzFwNkRmejA0OWJQT3Fmd2dNU1RGdTdOSzZjQUlRRE14WUFPR0htUHAwNFoyTi0tcUNnSGtPWklENHBkNEtHRThGOEY5LXl6emx3OGpnSlNLRmJJREZCTkxaa3RsY0NHcU9DVmREd2c0STVzb2V0aVY3bGlGeVB5ZVJDRkhPaVJV?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,7月22日
颱風凱米來襲桃機今取消227班次明天國內線航班全取消- 新聞,https://news.google.com/read/CBMiVkFVX3lxTE11T05TOFplLWVNTlU1M3l5eVVYZGFwOTFBejJKVjZxSlpKMVRCWDdpdWFKOTF1cDVJbzBPOUVaaTVyOWJMN0hxdk5ONHotelZHVWowRlRR?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Rti 中央廣播電臺,7月24日
英永續燃料颱風戰機 首度亮相,https://news.google.com/read/CBMibEFVX3lxTFBFa2hJNnIyQ2YtQnJzckZQR1Y0X2NwaGpXSElYR1hyczhZY0JrLTNYZHdiVFEwczZ0cE8xdWwwdmwyVE9ya3djUmtYSExncFBQT05Lb1VHNnJsZnRWMjNXb21RZTZscHBTcG5Udw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,青年日報,7月26日
凱米颱風若明顯往西北調整 專家:新竹以北陸警機率80%,https://news.google.com/read/CBMiWkFVX3lxTE9reVh2ai1lYkpmektnUF94TlZSVEtoanpjVXpDYUJ6UnpwODd0Unh3clRFUUVUeEFXQVA3dW1ienlkdGczdlczd0dSM2NnV1diN0VEcldBMURfZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,7月21日
輝達助攻氣象預測！賴總統：台灣可以貢獻國際,https://news.google.com/read/CBMi4gJBVV95cUxOR0VCd042aURsOUltLUEwV0dIQzUxeURYUjZrYURjZS1hSkUyYWc0UHJCaFFBc0h6T291a2FZcFF2UjNJY2tqZ3A5RGNFekFiWU5RVl83VnJPVG1kT2FrYnJxOTZZc0twbmJURW9xM2hxREVaTEZJSXVZcEhpMXdFZGFOamVEcjQtSHZXQXZVYnE0UV9ZZ2hjTzZ0aXpBd0JLZVNDMEZtNjFRVEdNZFhLdGFVT0NQNmk3Z2NOVHRaVTVDWUNQb25OWDVna25lQ3F5Z3BWTWVrdjdSOVp6QUdodmVUdlpuclhaUHNBLW1KLXZMYzVnVWtpNmJjSWppandyXzdyeHcwSDdKNFJ6NHI4NldkY1h2WGR4MC14MHdQUnA1bnRTWEJDNGFmbzVDeXNTeEhWVHJCN0o0ZmlsM2YyYVV6ckFsSnBXM2laa0JRci1hVWIyM1dkYjdMbkJlUmxsaHc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,新唐人亞太電視台,7月16日
颱風假連放凱米襲台雨勢猛台內政部提醒準備3天份糧食| 國際 | 2024-07-24,https://news.google.com/read/CBMivwJBVV95cUxPYTFVM0tKRHJ3b3k4MEY5RDl4bHNNazV4dV8ta1dQYmxLVExMYUJtbmhscEFVTHNMQk15ai1SRDg0QldBdE95YmhEanlFLUJDYVBuTEtxLXM1dERtZWpQSGpURTZsT3E5Z3BUQU5TMjNTQ3ZVUGNHejNBSm1iQ1VFRlBfNVBweXdndS0xM254ZElhYW8yQkFCalNNOV9jYUdWbmFrTkhxUzFYd3ZqM2VEMWNqS3Q0Z0lmSUluV2hDYWVmbDczeVQ4cllaUUdYWnVSaGZ0SWR1YXh5YWRKSDA0NXBkdlJfM3UweklTUk5UM2daZUQwZDRZeEJ3aWpJaDJBOXhkS2o2LXd2cmF1QnozRUM3Ykx6blpUSldiQ19lVWNPODd2YUVfS3U0LThxenVFNl9US05WT3J3WkVKRnYw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月24日
中度颱風 凱米（國際命名 GAEMI ）海上陸上颱風警報,https://news.google.com/read/CBMiyAJBVV95cUxQQ2VoazZ1RXdaR045cmZkc2d1Y29fcVdTVFpyZGxOX21tOFlXcEdfeVRCY2plYXYySHNfTC1JREUtZW01S2J1OHJJc3RzMDJxa1BKMHhCa3hRek1RLW1MYVJtY3lQWE96QlhKek4zRDVqVEpBd0FyRjhidzFFN204N0FPYTJXYlE0bDY1em1OV0h0Q0swNzZ4R2N3bURNcEQzYy1NMGczZ2ZpdjVYSm5JSU1HRVozYUdWaUVOSjJHNVNfUlJTbVZXOGo0Z0NqV0FrUTdZaWEwSzdvelRHdklBLXl1SXE1ZXotUHZJNlU5anFSZDhISVlQZUFscWZGUnY0N3lNUWh3M2tUalk2QkZUanA2YkxMQ2hWYXQwOFQxSTJSZkFiakxzRTFIdUl0LUVnb0tNd2FfeG5ySjRCQlg3UE5Vam5LV0JT0gHIAkFVX3lxTFBDZWhrNnVFd1pHTjlyZmRzZ3Vjb19xV1NUWnJkbE5fbW04WVdwR195VEJjamVhdjJIc19MLUlERS1lbTVLYnU4cklzdHMwMnFrUEoweEJreFF6TVEtbUxhUm1jeVBYT3pCWEp6TjNENWpUSkF3QXJGOGJ3MUU3bTg3QU9hMldiUTRsNjV6bU5XSHRDSzA3NnhHY3dtRE1wRDNjLU0wZzNnZml2NVhKbklJTUdFWjNhR1ZpRU5KMkc1U19SUlNtVlc4ajRnQ2pXQWtRN1lpYTBLN296VEd2SUEteXVJcTVlei1Qdkk2VTlqcVJkOEhJWVBlQWxxZkZSdjQ3eU1RaHcza1RqWTZCRlRqcDZiTExDaFZhdDA4VDFJMlJmQWJqTHNFMUh1SXQtRWdvS013YV94bnJKNEJCWDdQTlVqbktXQlM?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,藍雀新傳媒,7月23日
凱米颱風亂航班！7/25國內線全取消 國際線異動一次看,https://news.google.com/read/CBMiZEFVX3lxTFBJTVpPLWZCNnVIc3gwYl9zbXV1bC0wbkR0NWMzbUcydHJGYlpqbnM5UWNiX0R2c0x3QmpQdER3T01LY1ZlSFFDTkstaW9xZktoMHk4VEhRbnhWczBETWp4YjA3amjSAWpBVV95cUxPSnppS2hNQnYyWXhaczItaTJvU1VaZTlnbVVUMVVhcmpqblJkWVBfcnZnNzdoN3VDeExfWXh6OHFqQjRQVXJQT09ia1ZqRnhITUFXamx5MzAyQ2VIYkhDcWFudmR2c0JCNWJ3?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,自由時報,7月25日
颱風凱米影響 25日國籍航空國際線逾百航班異動,https://news.google.com/read/CBMiWkFVX3lxTE9jZnpGRGgyYUl2LVJMT3ZOUTAtVVlhRmF2dWVtSGJwQU5mYmJBU1FjejNpbmsyWWRmNmZGdFRTcWt3ejJGZWNRRU9MSXhZcTIwQ2Q4aGtFUTZqZ9IBX0FVX3lxTE5TUzYwdkpGY1F5YVFTa2t2RkNyU2x3bmh5X3hzOFA2MS0xSGlpZlFkR1FWRHFsdnJBd1h3VFp2Nl82X0JlczlCdVFsazNwZzExV2Y0dkdncjd1TFVCVi0w?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,7月24日
凱米颱風影響 明天7/25國際航班取消185架次！國內航班全數取消,https://news.google.com/read/CBMimgJBVV95cUxOcXlVTTF4a0FFQm1Tc3p3N2lwS1RjbDlHbUc0bDRnVE11WXlHZUk1TEw0dXNIZHZtRnp0bEZOc3BtU2FOdlVmUGlOQWlLMDJiRmVOTUVzZmIydXBKUHZZYVhDVFJ2QXcxNUFELXZlSkxfdE5BUUNVbFAydU1OZnRXVjhKb21GdlEwdy1RLVZ5NTZGWVN6VUQ3WWNGQ2FYcmFLdENnRDY3ME9uWS13aWJ0UlJBZzJRbjJidExSTGVHb3BfczRuVnhvbWhPQy1hN2Q4V2ZIcHJ0clpyWVlRcy00M3hXVVV6N25RYVVWOFAtTjVDYUVKbW0wMXZEblFTTVg3ZDVUbW5yNHJfZ2ZQaThFMlprdlI0aGJ0TVE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,7月24日
凱米颱風來襲照常上班 央行總裁親自坐鎮盯國際金融市場,https://news.google.com/read/CBMiUEFVX3lxTE5RbnU2Q3Q2bC1VQTVUb1lhRmRXbnZfdVJQV3JpRjhvNUM5d0V3aDdEWnZVVWFGdDVUbTZQajF4WjNRNGIwZHR1TkxTdUpESk5u0gFWQVVfeXFMUGVSMDVkWEtjUmx0YWxNWThpRFNxQ1V1d2pzalVuRFBhN21NUm56Wk1tUkdkWHd5UG1OQVVQNnNxbTNwdHRuNjAxR3Y3LW1CS21hdHlKR1E?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,聯合新聞網,7月24日
颱風影響國際航線飛機可能偏航 桃機下午流量管制至深夜,https://news.google.com/read/CBMigANBVV95cUxNZmw5UE9maG9qcnRzVFpVcGc3WEhlZWV5UTVQY29xNkx2R1VPOEFHY0paY1ZGcTdPMU9wUzdkNzdsNFRZRURGSmVEdVl3RnBseFBTSVlKYXFsOUdYOWF0VVhwWUFsUXQ3ZjdFbi1yNVRTa2ExUTkxcjE0andZc19MbE0td3pnZ2YzQkZpQ3RFaXFlSnJiaUwwNzdxV3ZQRVlNQzYzOVlIOE9EN0VZbDZwRjVkWjZPUThjVVk3WElEcF9OcDd1LUk2MjJMdDRsMmhoZTNjZ1NYdE52RzVIQ2g1TXY3VGIybnluMTB5LWNibi1yNE9LaVpManQ4SHd5QWZMblNPdWswSXB6T29NckV1dHBReml6YThKS2Y2RVBtdklfSnpva2Vpa21wOWl6TUhJLWJFZXlxUThqTVpIdU8waFVzMG9FSUdtdjBFWEg5TE1RWDZJdW83VVpVRTd2YjdybEh0ZzFuREpqZmdfZzV1UUVGYlptX1JrN2FjcnJuZ0s?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,7月23日
颱風+雷雨攪局 桃機國際線流量管制、高雄機場暫停作業,https://news.google.com/read/CBMiUEFVX3lxTFBvWkM1YWtVNzlNbzhKc25RTWJzSmtjN2swOEpQRDlrcDhEd0luUzJnT19JVkFNUmE1aWVzZllJa0dPRFNQY1phRVdleXJudlZ50gFYQVVfeXFMTTdfWkxwRHhPX3RCaU5YXzlqNFI3SlJtcV9lVFJWbHJTck5FdWo1VkZ1ZGFraU5SM1luWkJ4dmQ1d2JySG1oX05yTHRHNzRfTWhxT3dGV1RmaQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,聯合新聞網,7月23日
又有颱風生成！「安比」最快8/13中午生成 三颱恐都往日本去,https://news.google.com/read/CBMi5AJBVV95cUxNNW9GWG5lT3NZY3FsYlRaUlhLTjNTRTV0MVJjOHg1UmVRLVhlaENkR1VjMFA4U3BrXzdRVERJNHVqR2lBcmJHT3BrcDg1RFc0VFJMOWdqX0Ric1hVTzljN3JhQ2ZMeFdrOTZpSWZsV3RGUlc0Q0hTZk43SnJmZG9GdVRTVmZJRzJPb3FGWmRPdDVEZDJPX1RyVGJpZjEybGFDSDdyWEpjNUhPZWlpU2VBWU1KOXU0WE1zY0s1am9Obi1melMzeGpnM2o5WU1kUWJ0bTJVUHl4WE1mTkR4LWFWelpFbEJUQlhfSVRDbGY3VWxQREtRdnJIZDd0SkdfSS1ManBRRFVZaGlxYThLN09OREF4Ym9Ja1lIT29SbUxaX2c1bGZBb2ZxMTVDYjZxUXpMSEo2S2JReDVZTzdYQmYzeExYLUo5b3NVdlVDWlZmcWVPM0dJd1F4cHdVbk5OQ0E2VTItNg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,12 小時前
央行總裁颱風天沒放假 楊金龍盯國際匯市動向,https://news.google.com/read/CBMiUEFVX3lxTE9GVG95QlNSOFN4LXJCcmNic1ZYRVlTUkdfSERxOTNOVi03b3VkZGVYNkJIYXlGNGdMVXB6Sm5aQTgtREJIVmpXcTE4T2hjRGxU0gFWQVVfeXFMTy00cG9JdXZyazZHMFJ3NWFYckdNVUhDREsxZXFHYWRZT09kemZPSl9SRjFoWG1wRXZfbmN2LUdnNnpFRlVNVE9DdGdtZU1ERE9NU293RUE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,聯合新聞網,7月25日
響應國際友誼日 凱米颱風後山達基領青年志工恢復市容,https://news.google.com/read/CBMi9AJBVV95cUxObjNYODNKXy1hcWNnaHMtV3JjbWlmUFMydmdfMzRkcUlWeXlTeFI0TER4QkhUZHhyV0ZxVUM0UDd6TzEwZ3JaYW1hbVdnR2hxdmMyWUFja3U3Y2UwS2VERmRnMURCSkVGeDZOWjV1aXhEd28xY2JqS3BsRXNyYmFOeXQycTVDMU8xMDVOVGNFelNuVC1hR1NhUXhIZTBEbmtOTm1fWlhDOGpCeG5lNEF5R3gtRnJqUXJCR1kxSXNTdGJaQll1WU9yLVZVMUlzQzBiNDBCUEIyVklwU3JtVDBPZDd3UGktQ2FJblFNd012WWZCYzZKLWlsU1RGTlhVSGxBbUF6U3VNR1RaenU3eTBrX2hPZXlSRUlNSjRpR0xFQlZoME9ZNEZDT3hmb2NFSnRqZVRZYTZsdEJhb3ZqenEtby01b0pWS2pMbE1fcnZRSTVZbm5vYnhxSGxnWjhvYUJvNkk1SmItTmlSNlZtN256QXRZRXU?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,7月27日
颱風凱米襲日本離島 部分收容中心一度停電,https://news.google.com/read/CBMiWkFVX3lxTE5fbm45ZXZzY0VjVU5mMjNJNVEzUmpLQ2EweFgwejgzdlByVmtiakNSbWNxVGk0dW8zcGtSSlVxeFZlQVVZQl9odDFwV1ZpUzJkc1N2TndBXzBjQdIBX0FVX3lxTE1ta1BxNDhmaEtoVXVHazlIUk9UazJ3ZzllN0cyVXJ2N0ZfSGNrdWhrS1J2RzB4R0xpWWgzMVpISVJZUVBHd1RLVXBvSm00VVdyelRHaVZsVXhPUDFuTG53?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,7月25日
凱米颱風徘徊！航班異動一次看,https://news.google.com/read/CBMi5gFBVV95cUxQT291V1pPeGd6M0YtNE1Gd292QTVmTmJ1OWRZTEEwOUFCaTZiSGx4MjlZY1c1QzBDcGVpTm1jYXZrd2hYdWUxOHluREg2ZTFiWE84U1hfU3JYTk1oVlo2QTQtaGQxa25WcEhzX3pESFpfRmJvQV9RWTI0emMyTUtfRC1hakpNMUpqMUFRcXEzWkEyVU9iMVpOV2MzY3lZc1B0R3FqT08zdUhtYWQ0TURYQkpVLXAzOC14aVJCdXBNR2NzT3VqNEhUZ2RFRnFWYlpsaV9KZm55ODhDRXF4RFpGWUpEOHNNQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,7月25日
颱風來襲照常上班 央行總裁親自坐鎮盯國際金融市場,https://news.google.com/read/CBMikAFBVV95cUxPOFdfM2ZPOUF5R2RSc3V6VUF5NExzZHdMcXhoRU9WVW1VRVZybkZEaFY5ZVNEVzE5Y2ZzVUtfZ1NGWFlUNGd1S2ZadHB4c2diVnNhUnRfZDRJb3pFMVEyNGNNN2UtTmZ5cUpXRGwwQ1U0LW9vNVM3NnVyMzMxOWpWRmFoYm5TaWxsUWJMdkpLUmLSAV9BVV95cUxQeFJxZVdLSGI0bXMzdDN0TlNDR0dBRU5JQS1Kd1ROOXNqVy1XREk3T1Y4bVBzXzNZTDF3bFNOR1VOM0szX2JQaWkyNUdQNzVHM2U1czBDMjhlSEQ2cHZhaw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,7月24日
【鏡評】颱風撞上股匯市大地震,https://news.google.com/read/CBMi5AFBVV95cUxQejRfbW43MXFDejM5VEtHSWc1Yy1NV01fZllmVlB2bFJHZzR1ME5oRjZmeExCcHo1VHBuX1lYQUZ5RGRhZkRxWlZHLVFFZjB5aTFBeG5KR1ZybGdxVXpnR1ZVRmpfYjVIN2dpSHZzMngzNnFDMXBUc0ZvaGxCQ1FtTWZhZGQ1SmtETTJZTWhTOFdMSTJoM1dUNDU2M0dvZ3hfV3E2TkRKS0JWTE80eVZPb2NqZkt0R3QteXdYTGlNbHJkWDVSZ1FPLUh6bGNkMzQ4d04xZVFUbDRIU0x2UnRLZFliTEw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,7月31日
地震颱風影響旅客數交通部推優惠方案吸國際遊客- 生活,https://news.google.com/read/CBMiX0FVX3lxTFBHdC1KNGxRUTBpcW1Cd0QtMk5rOEVYeFphdEo5T1JVMVNrUjBlNThwQzZfbW91UTZ0aEJzcWtYSmREN0hjalBJdDcwVUs2NDh2YXVNWjhQeGZmZGhKNG84?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,工商時報,7月30日
颱風襲台 國內線259架次、國際線95架次取消,https://news.google.com/read/CBMiZEFVX3lxTE1MWmRIV1A5MzJPZFlCdWZCb0xkeEpHN0lHRWVsLXNudFo4WEpjRkVyUnBMNU5mUERPTDE5T1R4Uk1oTTljakFJbGNiNDZJUTRNZmt4MEhiX3VyakRQQmVsb2RPdUjSAWpBVV95cUxQU0xSWXA2QWktLUFaNTM2YXJDZWJsM2M2YnQtVVR1REdCSHp2V2ZobzRGaGN3VGUwTmhLQUVZcHJvZ05kdjhIYTdQWkhsdDUxazlhdDdYUmx1LU9GZjZMOHBVN2xlalg4clR3?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,自由時報,7月23日
颱風瑪莉亞登陸岩手縣日多地降雨破紀錄| 國際 | 2024-08-12,https://news.google.com/read/CBMilwJBVV95cUxNNDludjhEcGlacjFRLVVmc0RkNzJIbDFOSmtQSXZxTWJnblhkVVF1MmVONWhfcTI0MXVDdEhSUmd0dXc2UmNtdVdCaHc4aFp0bEx1RVFOV3RPQlp6Und6VGl2ZUN0TG9Ra3B6bW9KazlxMklkN0l1bWswZXE0aGtXcE95VVRIakUwU0VTMFdFbFUzR1B3LVpuVlNDS05VOEhOUjZ5cXZFdTVjNDZCZExLLTBTYTY1MVJIcjFxZzFITjVIbnpMMk94TTBzck1BTHozNDdaRkZiQXVRS0s2UjJKbmVvOFR2dmFraHhBMDNlcnNjQTRIYTVuWmNoQ0dvRXBaTFA1Z0dXU0Y2YjdhcXpqRDNkZFBuX0U?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,8 小時前
央行颱風天不打烊楊金龍坐鎮緊盯國際匯市動向- 金融,https://news.google.com/read/CBMiX0FVX3lxTE1VeTYxTmdMeHhIbzJzQUp4eEN3QXFZallvZ3A2dmFXUVJia085cnJNOG9ZSUdBb3N5UnhBVVh6djllQktrQ2w5dDFmRWo5a2Z0VmZqVVJ3SXdtcExkT1pF?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,工商時報,7月25日
颱風來襲前走山失聯10天 3登山客證實罹難| 國際 | 2024-07-31,https://news.google.com/read/CBMijwJBVV95cUxOWDZoaHRxRC1oRHFIeFJNeXhxbzJacEZvRHllTUNyZ01sQldzVWlXS0gyUlhiTXNEeVRUSXIxN2xuX2FYR1Z5UHl5OUd6aVhicmprODdxbVVMbE1lQldqdFhyQWhnOW15R3drODlvaThCSGRzSnZhRlRFZ09NeGZmbjNHejJaQTM1VFFSaUpMNGlCZWJTN1VpVVZyUnp1MnY4RnJxMXdMNzh0RVBVdjJ4dU9ZSWlwbXdBek1pR0lFbUNpSFBXMHhOVVdyOW5jMWZCX3BxempmTnI4LV9ya0pITFR1aUVJMkxTUTBIaEs4Q251WUJEYVFiZjdqbmhVcC12ajNYQTJiMlhDcXF4Q25N?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月31日
響應國際友誼日 凱米颱風後帶山達基領青年志工恢復市容,https://news.google.com/read/CBMibEFVX3lxTE84V2J0d0UwWGtpQ3o4TllGVl94al8ydW1tdVRqclNqa1BtSUdxTXRXdUp4eG5qdkdnenNraUFHNFVnOG1scWE4eF94dzRIWTZidThLM25Vb3BMSExRV0pWOWF3M0dBdlNWSDF1dQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,視傳媒,7月27日
維持國際金融交易營運央行颱風天不打烊| 金融要聞| 產經| 聯合新聞網,https://news.google.com/read/CBMiUEFVX3lxTE5lcVIzeHFNVE9mT1JCVmpxR0RSaTRXamNxeHVGa2phV0MzV2JENWJpNTRlR0ZOcDBERnBLeEgyLXA4OWVlTW5XbGZJT1JVUEdY?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,聯合新聞網,7月24日
中度颱風 凱米（國際命名 GAEMI ）海上颱風警報,https://news.google.com/read/CBMiUkFVX3lxTFBMZ2YxTHJ6MXZFXzg2RUpPcWYyd2Jnd2tPa0czTWpLUC1TUTZpLUtReFRJd0I5OTRpTGpHaFc3M0duYTJjZkw0TU9nRUl2RmtVTnc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,蕃新聞,7月23日
地震颱風「嚇跑7艘郵輪」 花蓮港國際客恐跌破萬人,https://news.google.com/read/CBMiXkFVX3lxTFA4NEhTMnpfdDlvbzkyOEg2bTBxaC15NzJWN3p0R0RwRlBNX0l2R3RSU0lMeTdJUmpjR2wtUHZOVlB6RnJIRTQ2dllVd3ZTWGhENHpxZzhnZnJjbUF5YnfSAWhBVV95cUxPWjZLMzA2blpKWXpMelppa2ZCUUdaZklpMHBxbnhaVmxDRXk0eERRMUwwM1UtZExMYkZZcWJzeXJOTFZhb3ljeUd5bENkLWdCMllHS1BPcUFYak96bW5qd0VFczR0dnJscQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,ETtoday新聞雲,11 天前
颱風掀強風暴雨台鐵電車線脫落土石流淹鐵軌| 國際 | 2024-07-24,https://news.google.com/read/CBMisAJBVV95cUxNSjl4TVJUZ2hpYTJTbFA1eWJzdXdrUm5qQkFvd19KNk55ZEhBd2h2MExHWjFTMkE0M214LWxCU09paFIzeFlBYjdUcXZXR1V6TDI3MGZUV0tENjJRc3FGdHRPcXA0SWp6MXJYcUdTeWljaFNIekRNUGdlSi0yNXhPeDc4b3BvXzZqZEJvMmx3eWNMUFZSYmhwZzAtSEhmMlpGb3o2TEVNSERkM05ubmQzc25xcmd1cW52QWp6VlJiSURLdjlXV1dkMjAzY0t0clNPMnRxVWhDZHpEa3E1Y0lBOW9CME1OZldYU0VCUnhiV29JMk1GcmdJS1k3VlJyU1J5RjN3bEFJR3dsMGZEa0ttQ0ZaTjhUQ0d3NUN0Ql9rVnc3M29DM0xxM1RQT0s0aVdX?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月24日
颱風格美襲台釀9死2失蹤877傷農林漁牧業損失慘重| 國際 | 2024-07-27,https://news.google.com/read/CBMitgJBVV95cUxNMkJqcnBDYUVhVlRjSVFsRnJXZGJId1pfQ0J0eEZnZnF3aDlNZFhiTFdqNVYtLUhGTVJEN0tTVnNTWEJBT2VJS3BuS0FCWF9Edkcza3hYQ21SQmhmMU51eGtpd2Rzdnc0RnZLUTNCckdnSDdKQXJDOWQ3T0pMOTJSWGlMcVRLQTZZYUVhM0JfczZGcVBENGJ0UzF5UFpmWncwNnNzb2JtQnZqOW5QYTNLM19pdHRCSDJfZ05pdTFuTTdCWU5ET08zYjAyNTlLTXFJR1VqVEVXMm1KS2tTWEEzbE9FdHpycDZOV1diWEdIMVRENHhIeGpkSmIzNzdDM29nNUZHOFNIS0NORmdYdzRuVDlEWkk2REU0bGJrUVJ6bXl6NmhRZGE1WEJJaVk2NkVyM1BfcUJ3?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月27日
颱風地震中共軍演 重創台灣觀光形象,https://news.google.com/read/CBMiYEFVX3lxTE1zSzlNWmlPcTBybk9SenhyS0Myc0ZzQVUwYlNIZ0R1NTNtRGhjYXBMdVAydm5CN3Z2QXJIWXBWdnlVb3I3S2lXbkcwX0NpY0tUb0pYeFY4dzdsZi1qQThkd9IBZkFVX3lxTE9vT1BvUG5LeUIwV2dwb3lmTzNCWVpCWFFpSURKUjZHMC1VcEtEbVU2S2FHeFZNQy1HaHZxRjNCeGFkXzdIaS1Yd3A1Sng4WWZPYUY3aVo2YWZpMm14ZlhCV3ZjdjZsZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,大紀元,7月30日
