標題,連結,內文,來源,時間
颱風重創南台灣 賴清德美濃勘災：全台「淹水逾50公分」補助2萬,https://news.google.com/read/CBMiWkFVX3lxTE1yMnI4SWRqd1JRemdDeURXRDBLWUlpa280U2dQSTVRMTNlUDNGc1BDZFRZU1B0VUtlbXpHUWhCam5oX05PeUpCaVBCcktNcEoxQS1YLTZBTTBhUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"凱米颱風侵襲台灣，雨量已超越當年八八風災的莫拉克颱風，而高雄市總量達490萬噸的滯洪池也近乎全滿，南台灣出現淹水災情。總統賴清德今（25）日上午在高雄市長陳其邁及多名立委陪同下，赴高雄市美濃區勘災，第一線視察狀況，他並表示，全台灣的家戶若淹水超過50公分，就會補助2萬元。至於淹水50公分以下的中低收入戶，過去中央編列5000元補助，此項在陳其邁要求下，中央加碼到1萬。
賴清德今日上午赴美濃視察，他表示，高雄旗山溪的水位因大潮漲得快，快速滿載無法排水，造成旗美地區淹水。高雄市政府目前已宣布，家戶淹水超過50公分者有1萬5000元的補助，中央政府也會編列預算，以減輕受災戶的財慘損失，全台灣的家戶若淹水超過50公分，就會補助2萬元。至於淹水50公分以下的中低收入戶，過去中央編列5000元補助，此項在陳其邁要求下，中央加碼到1萬。
賴清德也提到，財政部已拍板包括綜合所得稅、營業所得稅等9項稅務減免，中央會與各縣市稅務單位合作，減低受災戶的賦稅。
賴清德也提到要向因在風災失去生命的國人表達哀悼，並且慰問受災戶。未來國家的治水政策要因地制宜，也要讓市民盡快恢復日常。
 ",Newtalk新聞,7月26日
風災後高雄類鼻疽疫情爆發！8個症狀別輕忽,https://news.google.com/read/CBMirgJBVV95cUxNYzF4SExTX19SaThOSHltRmlOXzdxdEZObi14aFgxRk9HSHJOZjE5SWJnRk1CYW1UUDdUc01VQ3hrOWV3WVlNZTQydXN2eFVjN3pTV1dOemJObHhkcDRIbGZ5LVlldm0xRzZIYnp4UXYydzB1M0R3RDlyZXo2amQ2dHZIR01EUEYwLUNRN2N1MUtTVXc2SEhGcnduVndORUpUaDhYMGpMMkVHQTZqOHhhd2EyY0dZYm1BdFJxcjNHSGY0d1BfZ0NxVERneUtENVljRC12XzVIUWZYamtteHFDcTFiTnJtRFRLV2FpY1JodFMtWHdtQTc1UzhYM2xyS2p1N204cXI3OW5LX3k2UFJfTWlmYWg3WW9BOVQ0c0FyX19MQWdtVzFMNERCcDdXUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"近期高雄市類鼻疽疫情明顯升溫，從8月6日至8日間新增6例確診個案，年度累計確診數已達19例，顯示疫情有加劇跡象。確診個案年齡介於52歲至95歲之間，症狀包含發燒、全身虛弱、鼻塞、咳嗽、呼吸困難等。除一名50多歲的男性無慢性病史外，其餘個案均患有糖尿病、高血壓、心血管疾病或癌症等慢性病。
根據疾管署監測資料，今(113)年全國本土類鼻疽病例累計28例，為近五年來同期最高，其中高雄市多達19例，尤其是梓官區確診病例數最多。風災過後，感染風險急升，確診個案中許多人居住在積淹水區域或與汙水、汙泥有接觸，甚至有部分病例身上發現有傷口，加重了感染風險。
類鼻疽是一種由細菌感染引起的第四類法定傳染病，常見於颱風過後的積水和土壤中，特別容易在暴露於汙泥、土壤或吸入汙染空氣後感染。常見症狀可能輕微如發燒、頭痛、局部腫痛、潰瘍、胸痛、咳嗽、咳血及淋巴結腫大，也可能導致嚴重的皮膚膿腫、肺炎、腦炎或敗血症，國際上報告類鼻疽死亡率可達40-75%。衛生局強烈呼籲高風險族群，如糖尿病、肺病、肝病、腎病或免疫功能受損者，務必提高警覺，若出現任何疑似症狀，應儘速就醫並告知相關暴露史。
為了遏止疫情擴散，高雄市政府衛生局已積極進行戶外環境消毒，並針對積水區域進行預防性噴藥。民眾在處理土壤和積水時應注意個人防護措施，佩戴防水手套、長靴及口罩，避免赤腳行走，以降低感染風險。醫療院所也需提高警覺，遇到疑似病例應在72小時內通報並進行檢測，以便衛生單位及時採取防治措施。市民可透過高雄市政府衛生局的官方網站獲取更多防疫資訊。（郭子琳報導）",Yahoo奇摩新聞,2 天前
分析莫拉克災民搬遷與心理調適 陽明交大攜手國家災防中心登國際期刊,https://news.google.com/read/CBMiZEFVX3lxTE1FVUNoTWgxM3dlOFFFdXYwbnF3X2drSkJWRGprcUdnRkN2SFAxRVBrVzROZFYxU0NtcUxVbVZrMkhxanVrdWdSSEIydnRicUJnNVZOTDd3ZFlWS2hGazFOcmxBb2zSAWpBVV95cUxNeGpneHc0WFdZODQ1SWRHdUVXTVdrQ2QzbUNRUVg1Q3pPRkNkNW9PWjdNbjB2RURyZ3NEWEVSMzV6VnpSWnF4RVh5YkU0ZG5tUEFFWWVxcnZlSXpQV3UzbWQ1Z1JVbndoWmxR?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


陽明交大護理學院與國家災害防救科技中心合作，針對15年前莫拉克風災房屋嚴重損毀的1236個家庭進行調查，發現災後在搬遷前有充分時間能準備的民眾，較災後快速搬到永久屋的民眾，心理康復的情況顯著較佳，可作為未來制定災害應對措施時的參考，研究成果獲國際期刊《Psychological Science》刊登。 （陽明交大提供）
〔記者楊綿傑／台北報導〕風災後除了家園重建，災民心理重建也很重要！陽明交大護理學院與國家災害防救科技中心合作，針對15年前莫拉克風災房屋嚴重損毀的1236個家庭進行調查，發現災後在搬遷前有充分時間能準備的民眾，較災後快速搬到永久屋的民眾，心理康復的情況顯著較佳，可作為未來制定災害應對措施時的參考，研究成果獲國際期刊《Psychological Science》刊登。
當年莫拉克風災讓台灣遭受史上最大的降雨量，並摧毀不少部落，迫使許多災民搬家。研究團隊針對災房屋嚴重損毀的1236個家庭進行調查，歷經10年追蹤後發現，當年那些災後被迅速安置到穩定住所的災民，雖然一開始的心理壓力較低，但隨著時間推移心理壓力逐漸上升，最後反而變得相對較高。
請繼續往下閱讀...

研究團隊將災民搬遷模式分為6種，包含立即返回原居住、多年後經歷1次長距離搬遷、立即搬到永久屋、在大搬遷前有時間進行準備、2次大搬遷之間沒有緩衝時間、以及2次大搬遷之間有緩衝時間。
參與這項調查的陽明交大臨床護理研究所助理教授陳律言表示，在搬遷前有較長的時間進行準備或調適的災民，其長期心理復原狀況較沒時間準備的災民好。無論是經歷1次大搬遷還是2次搬遷，情況皆是如此。這項發現顯示，天然災害發生後，如果能夠讓災民們有更多的時間討論及決定搬遷的時間或地點，應該是減輕災民們在災後長期心理壓力的關鍵因素。
此外，過去也有部分研究或報導指出，永久屋對社區凝聚與文化傳承的不利影響，甚至衍生出土地及居住權的爭議，難以協助災民安居樂業。
近年台灣甚至全球面臨極端氣候威脅，研究團隊認為，這項研究為災害風險管理和社會韌性建設提供了重要的參考指引。陳律言也進一步建議，未來制定災害應對措施時，應更加重視災民的心理需求，提供足夠的時間和資源，協助災民做出適合自身的搬遷決定，並做好心理調適，以促進災後心理復原。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,4 天前
斷了15年 國際級鐵路阿里山林鐵全線通車 賴總統期吸引外國觀光客,https://news.google.com/read/CBMiqANBVV95cUxPb1dlMW41bndSSDZTaU5ueWw1YXBheVFmVzZoUHg2Z2ZlOVgtS2x3SjV6RkJrYU1SZFRFcFduN1lqbXVPbU0yZ05qZGJXUGxEbGxvOWFKdm5UMzRyR2s4Q3pLdzJoOFczMWl2dXlZV2E0Ukw2S0k1V3Q4N2JiVERBeXlXUEF6SWowX0g5MVdMTlNuNTdYNzFNeE9UNm55WmxhN1U5T2lOeUxlelVxMUZaY1Z6V29WX2hjYVRLN2tfUjlPX1VQN20za3R5bmxYV1k1Y1V6dnJSbHdsREI4aVJ3akZVTmpZM1IyT0ZESDBkZzlRcjBjb0x4U2tuNi1SZkRUcER5NmhPcXBOaHB2S1JDOEZVY1p0WHByZnVQSW15THdvWTBoUFNmc0hURUtRQXpEdGJUZmlPSnF4UEVXWnlzRktKVWd5ODFtZTF6VWRBZUZEd1FlMVh2WFdMZjYwZ3RWemxjUDNfNF9ySFNrN3I3M0piaTJHNVZfR1BVbE5CRllSR0xTRGdtbWdkTlZwVWdqbFZENUZUdWlDazBYajJwQVp3UVpsY2xO?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"15年前因為莫拉克風災嚴重受創的阿里山林業鐵路，在農業部林業及自然保育署與所屬阿里山林業鐵路及文化資產管理處努力克服重重挑戰後，終於在7月6日全線通車。6日首班車85張車票更在10分鐘內被搶購一空！
阿里山林業鐵路（又別稱阿里山鐵路、阿里山小火車）是位於台灣南部的高山森林鐵路系統，是台灣重要的文化景觀，也是18處台灣世界遺產潛力點之一。各路線主要位於嘉義市與嘉義縣境內，但祝山線部分區段則位於南投縣信義鄉。該鐵路乃是日治時代為了將阿里山林場產出之林木向外輸送而建設；林場砍伐業務結束後，客運與觀光成為該鐵路的主要功能。
賴清德總統今（19）日上午前往嘉義出席「阿里山林業鐵路全線通車感恩活動」，感謝中央、地方及所有參與單位團結合作，讓嘉義阿里山林鐵恢復通車。他指出，政府透過「前瞻計畫」提升林鐵安全，完成全線通車，也發揮文化觀光功能；未來會繼續執行「大阿里山軸帶百年躍升建設計畫」，讓鐵道效益持續發揮，帶動嘉義觀光產業，吸引更多外國觀光客來台。
總統說，阿里山不僅氣候宜人，也有漂亮風景及豐富文化，非常歡迎民眾前來搭乘林業鐵路，進行地方旅遊，相信絕對不虛此行。阿里山林鐵是國際級鐵路，也有許多各國重要的姊妹鐵道，非常歡迎旅遊業者將外國朋友帶來遊玩，提高這項建設的效益。
農業部長陳駿季回憶，童年時期父母親曾帶他到阿里山坐火車看神木，這是他一直以來很寶貴的記憶，也是許多人的珍貴記憶，他表示，阿里山林鐵從林業運輸到觀光產業，傳承百年歷史，對台灣來說，更是觀光動脈。
林業自然保育署署長林華慶表示，阿里山林鐵長達15年的復建，靠的是同仁與協力廠商戮力同心，與農業部的全力支持，始能克服重重挑戰。但攸關阿里山林鐵永續營運的一個重大轉捩點，是總統賴清德在行政院院長任內，核定「阿里山林業鐵路及文化資產管理處」，並於107年7月1日正式成立，讓這條世界級的百年鐵路，首次有了與其身份相符的專責營管機構與清楚的文化資產定位，其後行政院也以前瞻計畫大力支持經費。也因此，在林鐵文資處成立以後，除了積極復建42號隧道，還配合林業保育署打造「阿里山林業文化生態軸帶」的政策，針對沿線場站與歷史空間修復優化、路線安全提升、車輛更新、服務美學等重要工作同步開展，讓阿里山林鐵能在誕生百年後華麗轉身。",Yahoo奇摩新聞,7月19日
凱米颱風重創高雄林岱樺呼籲：提供災民30萬無息分期貸款| 政治,https://news.google.com/read/CBMiWkFVX3lxTE04dEQxX1p1Z0FwQm05NzVZNkZyWDJHT1NBLVdzSHowc1lodEs3YmRydlpCNURxOUFVbGdsaGh1M002aEIxanR2ck1MdFBqc3NjSE82RnN4b3FnZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"凱米颱風過境台灣造成高雄多處淹水災情，市民面臨嚴重的財產損失，許多家庭失去了基本的生活設施，重建需求迫在眉睫，亟需社會各界的關注與支援。民進黨立委林岱樺今（31）日呼籲，提供30萬元的無息分期貸款，並規劃長期的償還方案，以促進民眾盡快恢復正常生活。
林岱樺指出，此次颱風災情範圍廣泛，初步統計顯示受損物品涵蓋家庭用品及商業設施，對小型企業的影響尤為顯著。她也強調，感謝政府對中南部水災受災災民的體恤，提出瞭災害損失稅捐減免方案。
林岱樺呼籲，針對我國國情及產業發展策略，應該進一步結合產業發展政策目標，首先成立「凱米風災中小企業災害復舊專案貸款」，製造業每家提供最高額度5千萬元之低利貸款，做為重置廠房、營業場所、機器設備等資本性支出，購置原物料、商品等週轉金之使用。另受災店家則提供100萬之低利貸款。
她提出，針對泡水工廠其中機器設備，受災業者若採用低碳、節能化設備採購，則給予50%上限之低碳節能設備補助，剩餘50%另案提供設備採購零利率貸款。受災業者若採購低碳節能設備，即納入「生產設備投資」的營利事業所得稅的減免項目。
林岱樺認為，成立「凱米風災後復建服務團」，由各工業區服務中心、中華民國特定工廠聯合會執行，以每企業50萬額度為限，進行受災廠商訪視，提供協助事項包含稅務減免、融資貸款及泡水機械設備維修校正等服務。
她進一步表示，高雄市政府已積極啟動相關救助措施，並與各界合作，提供必要的資源與支援。她呼籲社會各界共同關心受災民眾，展現團結力量，攜手共度難關。此外，她提醒政府設置專門的諮詢服務窗口，協助民眾了解貸款申請流程，並提供法律及財務諮詢，以確保每位受災者獲得應有的支持與指導。
針對高雄市中小企業、工業區、科技產業園區及科學園區的災損情形，林岱樺建議中央主管機關啟動相關紓困措施，迅速協助企業恢復正常營運。她提議相關部會針對各項稅金減免（如綜所稅、營業稅、牌照稅、燃料稅）及企業優惠貸款補貼方案，並提供企業及工業區防水閘門設置補助。此外，應根據各產業特性，制定復工復舊、創業及延長獎勵等相關穩定產業的方案。
主計總處公務預算處李培源簡任視察表示，各主管部會已優先提供災害救助事項，將從寬、從簡、從速全力協助民眾早日恢復家園。財政部賦稅署賴基福組長指出，民眾或業者如有財損，於災害損失發生後可申請災害損失，本署將積極協助受災納稅義務人申請各項租稅減免。
金管會銀行局周怡玫副組長則表示，將協調銀行提出重建貸款、緩繳本息、申請展延借款期限等協助措施，為受災戶提供必要支援。她強調，資金短缺是重建過程中的主要挑戰，目前受災的家庭與企業急需資金支持，以恢復正常生活與營運。有了這筆無息貸款，不僅能幫助家庭修復損壞的設施，還能促進當地經濟復甦，為受災民眾帶來重建的希望與信心。
林岱樺表示，將持續關注災後恢復的各項需求，致力於確保每位受災民眾都能獲得充分的關懷與幫助。期待在中央與地方政府的共同努力下，早日重建美好的家園，讓高雄市的每一位市民重拾生活的希望與信心。",Newtalk新聞,7月31日
桃源國中遭颱風土石流侵襲國軍、市府團隊全力支援恢復校容| 生活,https://news.google.com/read/CBMiWkFVX3lxTE9WVlFhdkE1SWV3R3FZZzdQMFVqRmF3NW1DaUlpMHJuWnlFYjJCSUlKckVRenM1TGVKMkN2ckdHOTJFd3d5c25oZEd2Ql9pbjJCOWxlNnR1RGZjZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"高雄市桃源國中受凱米颱風帶來豪大雨影響，校內遭大量土石流進校園，昨日聯外道路東莊橋搶通後，下午區公所即進場協助清理。市府業第一時間聯絡軍方協助，今(29)日上午進行現勘，下午重機具進場支援清理校園，教育局長吳立森一早趕赴桃源國中關心災後復原情形，表示將會盡力協助學校恢復校園，並提供校園災後重建所需費用。
桃源區現因仍有三個部落的聯外道路明霸克露橋遭大雨沖斷，目前救災係以搶通聯外道路為優先。惟經教育局昨日透過市府提出國軍支援兵力，市府立即指示民政局、區公所協調機具調度，感謝區公所昨日下午已先行調派一台鏟裝機(山貓)支援校園清除作業，經今天上午現勘後，下午將由陸軍54工兵群20人、2部怪手、1台鏟土機、1部裝土機進行土石清除作業。
吳立森今早親自到桃源國中關心，並帶了鋤頭、耙子及運動飲料，提供現場人員使用及補充水份，對於校長陳世明昨日號召部落年輕人前來協助整理校園表達感謝之意。吳立森表示，教育局將會盡力協助學校恢復校園，並提供校園災後重建所需費用，希望學校能順利於八月底如期開學。
陳世明表示，目前桃源區因自來水管遭土石流沖刷破壞，所幸教育局於去年協助學校設置一座50噸加蓋鋁合金水塔，讓學校目前仍有自來水可使用，也很感謝各界對學校的關心與協助，目前校園內流入大量土石，因此急迫需要大型機具及人力支援來協助整建，希望可以趕在下次大雨來襲前，儘快將校園恢復原狀，大自然的考驗下才顯得人類渺小，風雨過後，必將迎來璀璨的陽光。
這次凱米颱風帶來豪大雨影響，緊鄰桃源國中旁原本的乾涸河床因颱風大豪雨改道，河水直接繞過校園1樓教室及穿過體育場邊緣，造成校園逾5000平方公尺遭土石掩埋。囿於山區人力物力短絀，市府亦持續調度大型重機具進場協助清運，確保開學前完成校園復原，讓學生能安心上學。
軍方重機具進場支援清理校園。   圖：高雄市教育局/提供
軍民聯手清理教室中的淤泥。   圖：高雄市教育局/提供
吳立森(左)感謝協助清理校園的現場人員。   圖：高雄市教育局/提供",Newtalk新聞,7月29日
美濃湖水雉雨中護蛋 挺過風災,https://news.google.com/read/CBMiZ0FVX3lxTE92UFExY2ZJaTdSZ0JSQnR6b1pHWnhhWjJIYmM0ejhBVVZJUnAzQjdVazNQMzY2aWpNQ2dyaTE4dzZnbTVCZGFIaXFuQm9xZUEzUjUycWYyQ0VhcU1oX0hXZTFfVVh3ZGfSAWdBVV95cUxPdlBRMWNmSWk3UmdCUkJ0em9aR1p4YVoySGJjNHo4QVVWSVJwM0I3VWszUDM2NmlqTUNncmkxOHc2Z201QmRhSGlxbkJvcWVBM1I1MnFmMkNFYXFNaF9IV2UxX1VYd2Rn?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"水雉在凱米颱風侵台不畏風雨，每天生一顆蛋，共連生四顆蛋。（黃淑玫提供）
〔記者陳文嬋／高雄報導〕凱米颱風日前來襲，正值珍貴稀有保育鳥類水雉繁殖季節，美濃區水雉棲地有母鳥不畏風雨，颱風期間連生四顆蛋，六隻水雉公鳥在狂風暴雨中孵蛋，其中一巢不幸被滾滾洪水淹沒，其餘五巢挺過風災，令人感動。
市府於美濃湖畔營造大灣棲地、水生植物種苗池，目前由高雄鳥會認養，串連劉孝伸與黃淑玫夫婦承租民間棲地、志工提供廢棄鱉池，種植水生植物，並攜手周遭農民種植野蓮田，友善耕種保護水雉生態，公私協力打造水雉棲地，每年吸引三十多隻水雉棲息。


五到九月為水雉繁殖季節，今年已有十隻水雉育雛成功，近日凱米颱風狂炸高雄，水雉棲地有水雉母鳥不畏風雨，颱風期間連生四顆蛋，六隻水雉公鳥狂風暴雨中孵蛋，壓低身體護蛋，避免鳥蛋失溫。最後有一巢不幸被滾滾洪水淹沒，其餘五巢幸運未淹水，順利挺過風災。
高雄鳥會志工陳柏豪表示，鳥類與人一樣，面對大自然考驗，盡其所能護蛋，展現生命韌性，也凸顯維護濕地環境重要性，可以滯洪、保水等，促進生物多樣性。
凱米颱風期間，水雉公鳥在狂風暴雨中孵蛋。（麥卡貝網路電視提供）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法
高雄市今日熱門",自由時報,7月31日
日本7地恐現1公尺海嘯！當地下午4時43分規模7.1強烈地震| 國際,https://news.google.com/read/CBMiWkFVX3lxTE5QRjN5TVRyN0dqWG4tXzE3M0hjeDFqX2ZBUEpZNDJmMTZlODY4MHJZaTRMbjZUcVd0TGJCRThCVjVGX1dWVzFtRnpEcy1YbVBPVUZBVW85VVNtZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"日本宮崎縣東側海域當地時間今天(8日)下午4時43分(台灣時間下午3時43分)發生規模7.1強烈地震，震央位於宮崎縣東部海域「日向灘」，震源深度30公里。早先發布規模6.9，震央附近宮崎縣日南市測得「6弱」震度，但稍後已上修規模至7.1。日本氣象廳隨即對鹿兒島縣東部、愛媛縣宇和海岸、種子島、屋久島地區、高知縣、宮崎縣及大分縣豐後海峽沿岸發布海嘯注意警報，最高可能出現1公尺海嘯。
日本發生規模7.1強震，網路流出受災照片。   圖：翻攝「X」 @Quantectum_Jap",Newtalk新聞,4 天前
台日屬不同斷層 仍要注意海嘯,https://news.google.com/read/CBMiXEFVX3lxTE1OYWJKNk1FVEhiVG9GTURua0JUVXZEdkNiU1BZYUdmZDJfOVFYUGRzcGVLdkNmeEhjQzNqNmJ3MTNPeFdTd0Qwalgtc2ZVM0FscEJQSU9pZXBYcXpE0gFiQVVfeXFMTW5xZ0p2YjdMRUhjenB2c2ZkSE9ybFNVc094LW9rZHNlOFMybWVHbmNmNUlqb1dhZ1MyU19ickt3VnZiaDBUX0JRRG5CTmdxYmZPTnQ5NEl4dUEzYkJaWTRFWnc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


「南海海槽沿岸地震相關評估討論會」會長、東京大學名譽教授平田直八日指出，未來一週內再次發生大地震的「機率極高」。（歐新社）
〔記者吳亮儀／台北報導〕日本宮崎縣發生規模七．一強震，日本氣象廳首次發布「南海海槽地震臨時訊息：巨大地震注意」示警；我中央氣象署指出，日本和台灣屬不同的斷層系統、距離也遠，地震震波傳不過來，「但要注意的是海嘯威脅」。
氣象署地震測報中心主任吳健富指出，日本所報導的南海海槽地震影響範圍雖然很大，但距離台灣仍很遠，地震的震波傳播過程中就會被地層和海水給吸收，對台灣幾乎沒有影響，不必擔心震波的威脅。
請繼續往下閱讀...

「但台灣要很注意海嘯的威脅」，吳健富說，以我國對海嘯的定義是規模要達七以上、且深度不超過卅五公里，加上一些海底地形的變化才可能有海嘯威脅，不過以日本的位置若要發生大地震造成海嘯，到台灣時可能也不大。以二○一一年日本三一一大地震為例，當時測到地震規模高達九．一，台灣也有發布海嘯警報，本來預測海嘯高度大約一公尺高，但傳到台灣時觀測到僅約十幾公分高，「會有海嘯威脅一定是要夠大的地震、且極淺層，才會讓海水啟動傳遞到台灣」。


台灣較淺地方要留意

吳健富說，台灣要比較注意海嘯威脅的是較淺的地方，例如海水浴場、大陸棚之類的，但台灣東部的地形是懸崖峭壁，且有很深的海溝，基本上就算有海嘯也不會太高。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法
未邀以大使 長崎原爆79週年掀波
中英對照讀新聞》Video shows dog chewing on a lithium-ion battery and sparking house fire in Oklahoma影片顯示狗狗啃咬鋰離子電池並引發奧克拉荷馬州房屋火災

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,2 天前
台積熊本廠所在地九州發生規模7.1地震 並發布海嘯警報,https://news.google.com/read/CBMiWkFVX3lxTFBMbVBGNHdyNEFOb3BBSEVjVFQwa1ZNTXZUUHZVcmRpbnhDakJaanhrMFRHMERVaVFEVmRjdDd5NEtUVEtmNzJNZ3VVc0ZseEUyR19pakFGSUcxd9IBX0FVX3lxTE44dVR6ZkJyQUFFMjE2RDVnc1hDaWFPbzJ4NmVGT0R4UzBtN0FJemRYalM4eGZkbEowT1RzNkNzbE5NT090ZTVDSUxEemYzVFpaWUk1VlRhX3VObms1YXcw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"
日本氣象廳8日表示，在日本時間下午4點43分左右，九州東南部的宮崎縣附近發生了芮氏規模7.1地震，並因此發布海嘯警報。

氣象廳表示，發布海嘯警報的地區包括九州的宮崎縣、大分縣、鹿兒島縣，以及四國的高知縣和愛媛縣。

台積電熊本廠所在的熊本縣菊陽町，觀測到的地震震度為3級，目前影響程度未明。

NHK報導，鹿兒島縣川內核電廠並未發現異常，繼續營運。




延伸閱讀
日宮崎縣東側海域發生規模7.1地震 氣象廳發布海嘯警報
日九州宮崎7.1規模強震傳災情！2機場急封跑道 航廈內玻璃碎滿地
日本九州規模7.1地震 地鐵大延誤、暫無台旅行團受影響",經濟日報,4 天前
南海海槽地震警戒 日啟動避難,https://news.google.com/read/CBMiXEFVX3lxTE1qRmg5SEVGSklkZ1JIVi01d3lISWJTUVdRT1BKZU05ajl3ZVl2TlhORU1JSUoxbE5qVXRYbFEyRC1QWjVpSnFuRS1uVjg0X0JHY0hvOTB2TGhSbEZD0gFiQVVfeXFMT3ZRdDFIQ0dYbUxOX29iSUVJMERkbFpFZ3I1WDlvUWNTYnRFZ1h5bXdybGgtVkxMOFB5cDV4UUMxc3FOQTFvOUNLVWdQSlpScVRCLVhFbDhkQlVUQnlGZ3JEQVE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


日本宮崎縣外海的日向灘八日發生芮氏規模7.1強震，共造成14人受傷，鹿兒島縣有1棟住宅全毀、10棟住宅部分受損，宮崎縣也有10棟住宅毀損。圖為鹿兒島縣大崎町的倒塌房屋。（歐新社）


〔駐日特派員林翠儀、國際新聞中心／綜合報導〕日本九州宮崎縣八日發生芮氏規模（Ｍ）七．一地震，氣象廳隨後也發表南海海槽「巨大地震注意」的臨時情報，專家指一週內發生大地震的機率極高。原本預定在九日出訪中亞和蒙古的日本首相岸田文雄臨時取消行程，留在國內優先做好危機應對工作。
日本太平洋沿岸的地方政府，九日已全面展開開設疏散點和確認疏散路線等準備工作。被臨時情報列為發布對象的各地都出現採買潮，飲用水、簡易廁所，以及防止家具傾倒的各類防災用品銷量均增加。
請繼續往下閱讀...



共同社報導，愛知、和歌山、高知與鹿兒島四縣已開設九十多處避難所，大阪府東大阪市要求民眾避免不必要的旅行。東海道新幹線減速行駛，和歌山縣白濱町關閉海水浴場，設想可能遭遇最高卅四公尺海嘯的高知縣黑潮町發布老年人疏散指示。
日本政府還要求企業也做好應對地震的防災準備。由於正逢民眾返鄉掃墓的盂蘭盆節前夕，很多九州的遊子對於是否返鄉也感到遲疑。


岸田原預定九日到十二日走訪哈薩克、烏茲別克和蒙古三國，並參加中亞五國峰會。他在出席長崎原爆紀念活動後，臨時決定取消出訪。岸田晚間在官邸受訪表示，地震臨時情報不需要民眾提前避難，敦促民眾繼續日常生活，但請在未來一週期間做好防範準備工作。


南海海槽大地震大約每隔一百至一百五十年發生，前一次是一九四四年的「昭和東南海地震」和兩年後的「昭和南海地震」，規模都為八．一。日本中央防災會議曾於二○一九年評估，若發生南海海槽大地震，估算罹難人數高達廿三．一萬人。


在宮崎縣近海發生強震後，氣象廳召集專家會議評估，發布南海海槽大地震注意情報，並要求太平洋沿岸包括茨城到沖繩等廿九都道府縣七○七個市町村，在未來至少一週內做好地震避難準備。東京大學名譽教授平田直指出，未來一週內再次發生大地震的「機率極高」。
日本每日新聞報導，東北大學地震學副教授福島洋帶領的團隊，從二○二三年起研究世界各國的地震，他指出，若發生Ｍ七以上未滿Ｍ八的地震，一週內鄰接區域發生Ｍ八以上地震的機率推估約為○．五九％。


南海海槽與日本本州南部海岸線平行，為菲律賓海板塊和歐亞大陸板塊的邊界，板塊互相推擠邊界會導致許多地震的發生，日本長年觀測南海海槽的地震動態，二○一九年五月公布臨時情報辦法，規定相關地區若發生Ｍ六．八以上地震，即發布臨時情報並召集專家進行關連性的評估，規模達Ｍ七以上地震發布「巨大地震注意」臨時情報，若為Ｍ八以上則發布「巨大地震警戒」。兩者差別在於注意情報發布後仍可維持日常作息，但要隨時準備避難，警戒情報發布後則必須為避難做準備，並協助部分居民提前避難。
日本太平洋沿岸警戒
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法
未邀以大使 長崎原爆79週年掀波
中英對照讀新聞》Video shows dog chewing on a lithium-ion battery and sparking house fire in Oklahoma影片顯示狗狗啃咬鋰離子電池並引發奧克拉荷馬州房屋火災

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,2 天前
日本7地恐現1公尺海嘯！當地下午4時43分規模7.1強烈地震| 國際,https://news.google.com/read/CBMiWkFVX3lxTE5QRjN5TVRyN0dqWG4tXzE3M0hjeDFqX2ZBUEpZNDJmMTZlODY4MHJZaTRMbjZUcVd0TGJCRThCVjVGX1dWVzFtRnpEcy1YbVBPVUZBVW85VVNtZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"日本宮崎縣東側海域當地時間今天(8日)下午4時43分(台灣時間下午3時43分)發生規模7.1強烈地震，震央位於宮崎縣東部海域「日向灘」，震源深度30公里。早先發布規模6.9，震央附近宮崎縣日南市測得「6弱」震度，但稍後已上修規模至7.1。日本氣象廳隨即對鹿兒島縣東部、愛媛縣宇和海岸、種子島、屋久島地區、高知縣、宮崎縣及大分縣豐後海峽沿岸發布海嘯注意警報，最高可能出現1公尺海嘯。
日本發生規模7.1強震，網路流出受災照片。   圖：翻攝「X」 @Quantectum_Jap",Newtalk新聞,4 天前
